	premise	hypothesis	type-of-inference	metadata	label
146	I just got blamed for stealing a power strip! Because I really wanted that power strip, I just had to have it #no	I just got blamed for stealing a power strip! I didn't want it at all.	sarcasm	{'snum': '378998002553090048-1', 'incongruency': 'implicit'}	?
147	I just got blamed for stealing a power strip! Because I really wanted that power strip, I just had to have it #no	I just got blamed for stealing a power strip! I obviously don't want that power strip.	sarcasm	{'snum': '378998002553090048-2', 'incongruency': 'implicit'}	?
148	I just got blamed for stealing a power strip! Because I really wanted that power strip, I just had to have it #no	I just got blamed for stealing a power strip! I didn't want that power strip, I don't need to have it #no	sarcasm	{'snum': '378998002553090048-3', 'incongruency': 'implicit'}	?
149	I just got blamed for stealing a power strip! Because I really wanted that power strip, I just had to have it #no	I just got blamed for stealing a power strip! I think this is stupid because obviously I don't want a power strip and don't have any need for it. #no	sarcasm	{'snum': '378998002553090048-4', 'incongruency': 'implicit'}	?
150	I just got blamed for stealing a power strip! Because I really wanted that power strip, I just had to have it #no	I just got blamed for stealing a power strip!  Because I really didn't want that power strip, I didn't just have to have it #no	sarcasm	{'snum': '378998002553090048-5', 'incongruency': 'implicit'}	?
151	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be great.	Babysitting 3 kids tonight and I'm running on 4 hours of sleep. This is going to be terrible.	sarcasm	{'snum': '379029765656551424-1', 'incongruency': 'explicit'}	?
152	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be great.	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be bad.	sarcasm	{'snum': '379029765656551424-2', 'incongruency': 'explicit'}	?
153	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be great.	Babysitting 3 kids when I'm only running on 4 hours of sleep is going to be very difficult.	sarcasm	{'snum': '379029765656551424-3', 'incongruency': 'explicit'}	?
154	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be great.	I'm going to dislike babysitting 3 kids tonight and running on 4 hours of sleep.	sarcasm	{'snum': '379029765656551424-4', 'incongruency': 'explicit'}	?
155	Babysitting 3 kids tonightandI'm running on 4 hours of sleep. This is gonna be great.	Babysitting 3 kids tonightandI'm running on 4 hours of sleep.  This is not gonna be great.	sarcasm	{'snum': '379029765656551424-5', 'incongruency': 'explicit'}	?
156	Can't wait to get to school tomorrow and hear everyone talking about youth alive	I'm not looking forward to getting to school tomorrow and hearing everyone talking about youth alive	sarcasm	{'snum': '379156838786150400-1', 'incongruency': 'implicit'}	?
157	Can't wait to get to school tomorrow and hear everyone talking about youth alive	I'm dreading getting to school tomorrow and hearing everyone talking about youth alive	sarcasm	{'snum': '379156838786150400-2', 'incongruency': 'implicit'}	?
158	Can't wait to get to school tomorrow and hear everyone talking about youth alive	"I don't want to go to school tomorrow and hear people talking hypocritically about the organization ""youth alive""."	sarcasm	{'snum': '379156838786150400-3', 'incongruency': 'implicit'}	?
159	Can't wait to get to school tomorrow and hear everyone talking about youth alive	I am not looking forward to hearing everyone talk about youth alive at school tomorrow	sarcasm	{'snum': '379156838786150400-4', 'incongruency': 'implicit'}	?
160	Packing is so much fun!	Packing is not fun at all!	sarcasm	{'snum': '378979645074333697-1', 'incongruency': 'implicit'}	?
161	Packing is so much fun!	Packing is not much fun!	sarcasm	{'snum': '378979645074333697-2', 'incongruency': 'implicit'}	?
162	Packing is so much fun!	Packing is no fun!	sarcasm	{'snum': '378979645074333697-3', 'incongruency': 'implicit'}	?
163	Packing is so much fun!	I hate packing.	sarcasm	{'snum': '378979645074333697-4', 'incongruency': 'implicit'}	?
164	Packing is so much fun!	I really don't enjoy packing	sarcasm	{'snum': '378979645074333697-5', 'incongruency': 'implicit'}	?
165	I love when people talk about stuff that they know nothing about	I hate when people talk about stuff that they know nothing about	sarcasm	{'snum': '379133002208403456-1', 'incongruency': 'explicit'}	?
166	I love when people talk about stuff that they know nothing about	I hate when people talk about stuff that they know nothing about.	sarcasm	{'snum': '379133002208403456-2', 'incongruency': 'explicit'}	?
167	I love when people talk about stuff that they know nothing about	I do not like it when people talk about stuff that they know nothing about.	sarcasm	{'snum': '379133002208403456-3', 'incongruency': 'explicit'}	?
168	I love when people talk about stuff that they know nothing about	I hate when people talk about stuff that they know nothing about.	sarcasm	{'snum': '379133002208403456-4', 'incongruency': 'explicit'}	?
169	I love when people talk about stuff that they know nothing about	I hate it when people talk about things they know nothing about	sarcasm	{'snum': '379133002208403456-5', 'incongruency': 'explicit'}	?
170	ACT prep is exactly what I want to be doing today.	ACT prep is not what I want to be doing today.	sarcasm	{'snum': '378960273350356992-1', 'incongruency': 'implicit'}	?
171	ACT prep is exactly what I want to be doing today.	I hate that I have to study for the ACT prep today	sarcasm	{'snum': '378960273350356992-2', 'incongruency': 'implicit'}	?
172	ACT prep is exactly what I want to be doing today.	I would rather being doing just about anything other than ACT prep today!	sarcasm	{'snum': '378960273350356992-3', 'incongruency': 'implicit'}	?
173	ACT prep is exactly what I want to be doing today.	I hate having to do ACT preparation today.	sarcasm	{'snum': '378960273350356992-4', 'incongruency': 'implicit'}	?
174	ACT prep is exactly what I want to be doing today.	ACT prep is exactly what I don't want to be doing today.	sarcasm	{'snum': '378960273350356992-5', 'incongruency': 'implicit'}	?
175	made $174 this month...I'm gonna buy a yacht! #poor #wishIhadabetterjob #newspaperjobsstink	made $174 this month...I wish I had more money! #poor #wishIhadabetterjob #newspaperjobsstink	sarcasm	{'snum': '385524626110939136-1', 'incongruency': 'implicit'}	?
176	made $174 this month...I'm gonna buy a yacht! #poor #wishIhadabetterjob #newspaperjobsstink	I only made $174 this month.	sarcasm	{'snum': '385524626110939136-2', 'incongruency': 'implicit'}	?
177	made $174 this month...I'm gonna buy a yacht! #poor #wishIhadabetterjob #newspaperjobsstink	made $174 this month...I could never afford an expensive yacht! #poor #wishIhadabetterjob #newspaperjobsstink	sarcasm	{'snum': '385524626110939136-3', 'incongruency': 'implicit'}	?
178	made $174 this month...I'm gonna buy a yacht! #poor #wishIhadabetterjob #newspaperjobsstink	Made $174 this month... I'm very poor.	sarcasm	{'snum': '385524626110939136-4', 'incongruency': 'implicit'}	?
179	made $174 this month...I'm gonna buy a yacht! #poor #wishIhadabetterjob #newspaperjobsstink	I don't make much money.	sarcasm	{'snum': '385524626110939136-5', 'incongruency': 'implicit'}	?
180	Nothing better than a sunglasses tan.	Nothing worse than a sunglasses tan.	sarcasm	{'snum': '379086017586012160-1', 'incongruency': 'explicit'}	?
181	Nothing better than a sunglasses tan.	Nothing worse than a sunglasses tan.	sarcasm	{'snum': '379086017586012160-2', 'incongruency': 'explicit'}	?
182	Nothing better than a sunglasses tan.	I hate having a sunglasses tan	sarcasm	{'snum': '379086017586012160-3', 'incongruency': 'explicit'}	?
183	Nothing better than a sunglasses tan.	There are better things than a sunglasses tan.	sarcasm	{'snum': '379086017586012160-4', 'incongruency': 'explicit'}	?
184	ToUser Just love the way Asdrubal drives the ball!	@User I really hate the way Asdrubal drives the ball.	sarcasm	{'snum': '379022877380845568-1', 'incongruency': 'implicit'}	?
185	ToUser Just love the way Asdrubal drives the ball!	@User I don't like the way Asdrubal drives the ball!	sarcasm	{'snum': '379022877380845568-2', 'incongruency': 'implicit'}	?
186	ToUser Just love the way Asdrubal drives the ball!	@User Just hate the way Asdrubal drives the ball!	sarcasm	{'snum': '379022877380845568-3', 'incongruency': 'implicit'}	?
187	ToUser Just love the way Asdrubal drives the ball!	Asdrubal is not good at driving the ball.	sarcasm	{'snum': '379022877380845568-4', 'incongruency': 'implicit'}	?
188	ToUser Just love the way Asdrubal drives the ball!	@User Don't love the way Asdrubal drives the ball!	sarcasm	{'snum': '379022877380845568-5', 'incongruency': 'implicit'}	?
189	Being replaced is such a great feeling.	Being replaced is such a horrible feeling.	sarcasm	{'snum': '420744315472584704-1', 'incongruency': 'explicit'}	?
190	Being replaced is such a great feeling.	Being replaced is such an awful feeling.	sarcasm	{'snum': '420744315472584704-2', 'incongruency': 'explicit'}	?
191	Being replaced is such a great feeling.	Being replaced is such an awful feeling.	sarcasm	{'snum': '420744315472584704-3', 'incongruency': 'explicit'}	?
192	Being replaced is such a great feeling.	I hate being replaced	sarcasm	{'snum': '420744315472584704-4', 'incongruency': 'explicit'}	?
193	Being replaced is such a great feeling.	Being replaced is such a rotten feeling.	sarcasm	{'snum': '420744315472584704-5', 'incongruency': 'explicit'}	?
194	Everyone I know is so considerate.	Everyone I know is so inconsiderate.	sarcasm	{'snum': '398842003884343296-1', 'incongruency': 'implicit'}	?
195	Everyone I know is so considerate.	Everyone I know is so inconsiderate.	sarcasm	{'snum': '398842003884343296-2', 'incongruency': 'implicit'}	?
196	Everyone I know is so considerate.	Everyone I know is so inconsiderate.	sarcasm	{'snum': '398842003884343296-3', 'incongruency': 'implicit'}	?
197	Everyone I know is so considerate.	Nobody I know is so considerate.	sarcasm	{'snum': '398842003884343296-4', 'incongruency': 'implicit'}	?
198	Everyone I know is so considerate.	Everyone I know is so inconsiderate.	sarcasm	{'snum': '398842003884343296-5', 'incongruency': 'implicit'}	?
199	Mr shey why are you so cool????	Mr shey why are you not cool at all????	sarcasm	{'snum': '380395175857500160-1', 'incongruency': 'implicit'}	?
200	Mr shey why are you so cool????	Mr shey you are not cool	sarcasm	{'snum': '380395175857500160-2', 'incongruency': 'implicit'}	?
201	Mr shey why are you so cool????	Mr. Shey you are not cool.	sarcasm	{'snum': '380395175857500160-3', 'incongruency': 'implicit'}	?
202	Mr shey why are you so cool????	Mr shey why are you so uncool????	sarcasm	{'snum': '380395175857500160-4', 'incongruency': 'implicit'}	?
203	Mr shey why are you so cool????	Mr. Shey is not cool.	sarcasm	{'snum': '380395175857500160-5', 'incongruency': 'implicit'}	?
204	ToUser I love how alameda plaza always has parking	@User I hate how alameda plaza never has parking	sarcasm	{'snum': '379000365351321600-1', 'incongruency': 'implicit'}	?
205	ToUser I love how alameda plaza always has parking	I hate how alameda plaza never has parking.	sarcasm	{'snum': '379000365351321600-2', 'incongruency': 'implicit'}	?
206	ToUser I love how alameda plaza always has parking	I hate how alameda plaza never has parking.	sarcasm	{'snum': '379000365351321600-3', 'incongruency': 'implicit'}	?
207	ToUser I love how alameda plaza always has parking	Parking is difficult at Alameda Plaza.	sarcasm	{'snum': '379000365351321600-4', 'incongruency': 'implicit'}	?
208	ToUser I love how alameda plaza always has parking	I hate how alameda plaza never has parking.	sarcasm	{'snum': '379000365351321600-5', 'incongruency': 'implicit'}	?
209	My math problems are a half a page of excitement	My math problems are a half a page of boredom	sarcasm	{'snum': '387016431780782080-1', 'incongruency': 'explicit'}	?
210	My math problems are a half a page of excitement	My math problems are a half a page of boredom.	sarcasm	{'snum': '387016431780782080-2', 'incongruency': 'explicit'}	?
211	My math problems are a half a page of excitement	I do not find my half page of math problems very exciting.	sarcasm	{'snum': '387016431780782080-3', 'incongruency': 'explicit'}	?
212	My math problems are a half a page of excitement	Math is boring.	sarcasm	{'snum': '387016431780782080-4', 'incongruency': 'explicit'}	?
213	My math problems are a half a page of excitement	My math problems are a half a page of dullness	sarcasm	{'snum': '387016431780782080-5', 'incongruency': 'explicit'}	?
214	My work shoes smell like a bed of roses! #smellmorelikecatpiss	My work shoes smell terrible! #smellmorelikecatpiss	sarcasm	{'snum': '379068035673628672-1', 'incongruency': 'implicit'}	?
215	My work shoes smell like a bed of roses! #smellmorelikecatpiss	My work shoes definitely do not smell like a bed of roses.	sarcasm	{'snum': '379068035673628672-2', 'incongruency': 'implicit'}	?
216	My work shoes smell like a bed of roses! #smellmorelikecatpiss	My work shoes smell terrible.	sarcasm	{'snum': '379068035673628672-3', 'incongruency': 'implicit'}	?
217	My work shoes smell like a bed of roses! #smellmorelikecatpiss	My work shoes smell really bad.	sarcasm	{'snum': '379068035673628672-4', 'incongruency': 'implicit'}	?
218	My work shoes smell like a bed of roses! #smellmorelikecatpiss	My shoes smell like cat urine.	sarcasm	{'snum': '379068035673628672-5', 'incongruency': 'implicit'}	?
